domain,relational,ssa,test,precise,env_size,byte_size
Polka,true,false,linear_constraint,true,6,78
Polka,true,false,sin_bounds,true,3,45
Polka,true,false,max_select,true,7,126
Polka,true,false,builtin_max,false,7,245
Polka,true,false,abs_if_join_on_stack,true,5,70
Polka,true,false,abs_if_join_on_local,true,4,52
Polka,true,false,abs_br_if_join_on_local,true,4,60
Polka,true,false,abs_select,true,5,70
Polka,true,false,plus_two_function_call,true,5,60
Polka,true,false,plus_five,false,2,18
Polka,true,false,reassignment,true,2,18
Polka,true,false,swap,true,10,480
Polka,true,false,loop_to_100,true,2,28
Polka,true,false,loop_condition_at_end,true,2,28
Polka,true,false,loop_over_int_array,true,6,426
Polka,true,false,mandelbrot_loop,true,4,132
Polka,true,false,tail_rec_loop_to_100,false,6,90
Polka,true,false,tail_rec_loop_to_n,false,10,315
Polka,true,false,fac_positive,false,8,120
Polka,true,false,fac_acc_positive,true,8,343
Polka,true,false,fib_positive,true,7,156
Polka,true,false,fib_acc_positive,true,10,711
Polka,true,false,even_returns_boolean,true,8,192
Polka,true,false,recursive_peano_addition,false,10,432
Polka,true,false,gauss_sum_positive,false,8,112
Polka,true,false,gauss_sum_greater_than_input,false,8,112
Polka,true,false,array_fill,false,14,1521
Polka,true,false,x_minus_x_eq_zero,true,4,44
Polka,true,false,max_if,true,6,102
Polka,true,false,loop_to_n,false,4,88
Polka,true,false,2x_plus_y_minus_x_eq_x_plus_y,true,6,108
Polka,true,false,input_of_recrusive_id_is_same_as_output,false,9,225
Polka,true,false,peano_addition_loop,false,6,240
Polka,true,false,static_inference_numeric_invariants_example_5_1,true,6,120
Polka,true,false,static_inference_numeric_invariants_example_5_2,false,4,88
Polka,true,false,static_inference_numeric_invariants_example_5_11,false,4,168
Octagon,true,false,linear_constraint,false,6,84
Octagon,true,false,sin_bounds,true,3,1
Octagon,true,false,max_select,true,7,1
Octagon,true,false,builtin_max,false,7,1
Octagon,true,false,abs_if_join_on_stack,true,5,1
Octagon,true,false,abs_if_join_on_local,true,4,1
Octagon,true,false,abs_br_if_join_on_local,true,4,1
Octagon,true,false,abs_select,true,5,1
Octagon,true,false,plus_two_function_call,true,5,1
Octagon,true,false,plus_five,false,2,1
Octagon,true,false,reassignment,true,2,1
Octagon,true,false,swap,true,10,1
Octagon,true,false,loop_to_100,true,2,12
Octagon,true,false,loop_condition_at_end,true,2,12
Octagon,true,false,loop_over_int_array,true,6,84
Octagon,true,false,mandelbrot_loop,true,4,40
Octagon,true,false,tail_rec_loop_to_100,false,6,60
Octagon,true,false,tail_rec_loop_to_n,false,10,180
Octagon,true,false,fac_positive,true,8,112
Octagon,true,false,fac_acc_positive,true,8,112
Octagon,true,false,fib_positive,true,7,84
Octagon,true,false,fib_acc_positive,true,10,180
Octagon,true,false,even_returns_boolean,true,8,112
Octagon,true,false,recursive_peano_addition,false,10,180
Octagon,true,false,gauss_sum_positive,true,8,112
Octagon,true,false,gauss_sum_greater_than_input,false,8,112
Octagon,true,false,array_fill,false,14,364
Octagon,true,false,x_minus_x_eq_zero,true,4,1
Octagon,true,false,max_if,true,6,1
Octagon,true,false,loop_to_n,true,4,40
Octagon,true,false,2x_plus_y_minus_x_eq_x_plus_y,false,6,60
Octagon,true,false,input_of_recrusive_id_is_same_as_output,false,9,144
Octagon,true,false,peano_addition_loop,false,6,84
Octagon,true,false,static_inference_numeric_invariants_example_5_1,false,6,1
Octagon,true,false,static_inference_numeric_invariants_example_5_2,false,4,40
Octagon,true,false,static_inference_numeric_invariants_example_5_11,false,4,40
Box,true,false,linear_constraint,false,6,12
Box,true,false,sin_bounds,true,3,6
Box,true,false,max_select,false,7,14
Box,true,false,builtin_max,false,7,14
Box,true,false,abs_if_join_on_stack,false,5,10
Box,true,false,abs_if_join_on_local,false,4,8
Box,true,false,abs_br_if_join_on_local,false,4,8
Box,true,false,abs_select,false,5,10
Box,true,false,plus_two_function_call,false,5,10
Box,true,false,plus_five,false,2,4
Box,true,false,reassignment,true,2,4
Box,true,false,swap,false,10,20
Box,true,false,loop_to_100,true,2,4
Box,true,false,loop_condition_at_end,true,2,4
Box,true,false,loop_over_int_array,false,6,12
Box,true,false,mandelbrot_loop,true,4,8
Box,true,false,tail_rec_loop_to_100,false,6,12
Box,true,false,tail_rec_loop_to_n,false,10,20
Box,true,false,fac_positive,true,6,12
Box,true,false,fac_acc_positive,true,8,16
Box,true,false,fib_positive,true,7,14
Box,true,false,fib_acc_positive,true,10,20
Box,true,false,even_returns_boolean,true,8,16
Box,true,false,recursive_peano_addition,false,10,20
Box,true,false,gauss_sum_positive,true,6,12
Box,true,false,gauss_sum_greater_than_input,false,6,12
Box,true,false,array_fill,false,14,28
Box,true,false,x_minus_x_eq_zero,false,4,8
Box,true,false,max_if,false,6,12
Box,true,false,loop_to_n,false,4,8
Box,true,false,2x_plus_y_minus_x_eq_x_plus_y,false,6,12
Box,true,false,input_of_recrusive_id_is_same_as_output,false,9,18
Box,true,false,peano_addition_loop,false,6,12
Box,true,false,static_inference_numeric_invariants_example_5_1,false,6,12
Box,true,false,static_inference_numeric_invariants_example_5_2,false,4,8
Box,true,false,static_inference_numeric_invariants_example_5_11,false,4,8
